Energy,,,,,Magnetisation,,
Beta,b,Mean,Error,Thermalisation,Mean,Error,Thermalisation
0.1,0.01,-205.2288,0.051,10,156.7661,0.0811,!!!!
0.3,0.01,-205.2288,0.051,10,720.7546,0.6951,!!!!
0.5,0.01,-8875.2375,0.3768,100,9161.3095,1.7501,70
0.7,0.01,-13838.8204,2.4709,100,9386.7449,127.7027,75
0.9,0.01,-18019.3970,2.5768,60,9049.4680,179.3196,50
1.1,0.01,-22043.2173,3.6038,40,8455.9671,224.0626,50
1.3,0.01,-26034.6432,4.6914,40,7947.4597,265.3931,50
1.5,0.01,-30026.7357,5.398,30,7866.8933,261.2306,70
1.7,0.01,-34017.6027,6.8905,30,7990.5107,251.7684,70
1.9,0.01,-37987.1989,9.4379,20,8038.1568,241.7665,30
2.1,0.01,-41955.7324,12.1261,35,,,
2.3,0.01,-45936.9732,14.4401,40,,,
2.5,0.01,-49907.5674,16.8662,30,,,
2.7,0.01,-53901.3725,17.555,40,,,
2.9,0.01,-57824.1902,21.2446,35,,,
3.1,0.01,-61832.8575,22.3156,45,,,
3.3,0.01,-65834.3661,23.1586,40,,,
3.5,0.01,-69826.3878,24.2562,270,,,
3.7,0.01,-73815.6024,25.4291,100,,,
3.9,0.01,-77799.2196,26.8838,85,,,
4.1,0.01,-81734.1429,30.4064,100,,,
4.3,0.01,-85762.6182,30.0848,50,,,
4.5,0.01,-89744.0797,31.5273,150,,,
4.7,0.01,-93690.5993,34.1408,50,,,
0.1,0.005,-203.88487866666665,0.050935254809630084,10,78.31714514514515,0.08473541323298045,!!!
0.3,0.005,-2118.861825816327,0.12701805853197834,20,361.4178218218218,0.6874395866503207,!!!
0.5,0.005,-8798.682818125,1.0162441082774964,200,9128.470954285714,7.258001450212403,250
0.7,0.005,-13750.917108705882,3.3209489533820244,150,7338.162442352941,275.90079691722366,150
0.9,0.005,-17906.950688210523,4.7658458968974085,50,,,200
1.1,0.005,-21936.080771276596,6.579371267198739,70,,,
1.3,0.005,-25937.194481333336,7.541997084636733,100,,,
1.5,0.005,-29908.026814222223,9.900963648484877,100,,,
1.7,0.005,-33900.58337222222,11.33641064490572,100,,,
1.9,0.005,-37881.13275,12.889929990349602,60,,,
2.1,0.005,-41838.701147529406,15.31256050775418,150,,,
2.3,0.005,-45796.51325,17.65776671458938,200,,,
2.5,0.005,-49750.7627872,19.783208296478893,250,,,
2.7,0.005,-53749.68039066666,21.358344622918068,100,,,
2.9,0.005,-57758.19838933334,21.890730399209833,250,,,
3.1,0.005,-61750.5099915,23.277058220486882,200,,,
3.3,0.005,-65750.37803148935,24.600549296929927,60,,,
3.5,0.005,-69729.69690666666,26.003787450047408,100,,,
3.7,0.005,-73637.24476173913,29.690467084999252,80,,,
3.9,0.005,-77578.85993044444,32.06970791647609,100,,,
4.1,0.005,-81576.498478,32.94671965784131,200,,,
4.3,0.005,-85599.73744257144,33.366763108375956,300,,,
4.5,0.005,-89591.14283250002,34.6613533026686,200,,,
4.7,0.005,-93609.77607317647,35.29075742865984,150,,,
0.1,0.001,-203.4492251816284,0.04960027205177278,42,15.720679569892473,0.08479804257949665,!!!
0.3,0.001,-2113.5536629387757,0.12914899409226266,20,72.82785376344086,0.7228088430257644,!!!
0.5,0.001,-8621.473155464788,6.223903077025688,290,3237.963455,303.26200472884955,!!!
0.7,0.001,-13618.441108333333,8.50161254071738,160,1823.2732850000002,369.2404273138905,!!!
0.9,0.001,-17792.268590107527,9.809033979291968,70,2637.1861400000003,365.4875863938588,
1.1,0.001,-21805.04175698925,11.990038484375601,70,,,
1.3,0.001,-25783.7639744086,13.990218730485873,70,,,
1.5,0.001,-29764.44576731183,15.739624125701916,70,,,
1.7,0.001,-33759.80204903225,17.258343133030312,60,,,
1.9,0.001,-37715.1469968421,19.694992535481248,60,,,
2.1,0.001,-41684.42098294737,21.691684766191564,50,,,
2.3,0.001,-45664.91552989474,23.495483387656023,50,,,
2.5,0.001,-49615.11829913978,25.961953267376458,70,,,
2.7,0.001,-53563.33059263158,28.208848856268382,50,,,
2.9,0.001,-57567.49932860215,29.635505700691294,70,,,
3.1,0.001,-61575.418202580644,30.915955904191424,70,,,
3.3,0.001,-65518.494260645166,33.6033133721113,70,,,
3.5,0.001,-69513.7300511828,34.86350281482623,70,,,
3.7,0.001,-73432.4888711828,37.8046384771575,70,,,
3.9,0.001,-77412.20537311828,40.0415967642051,70,,,
4.1,0.001,-81346.42034580644,42.39424740480247,70,,,
4.3,0.001,-85326.07704365591,44.50146579063794,70,,,
4.5,0.001,-89249.43010537633,47.22350711292453,70,,,
4.7,0.001,-93212.7042260215,49.158678106146695,70,,,
0.1,0.0005,-203.36451085591398,0.050652149466343936,70,,,
0.3,0.0005,-2113.517331655914,0.123129301312049,50,,,
0.5,0.0005,-8603.066489436618,6.669813361934372,290,,,
0.7,0.0005,-13608.031460963857,8.779217990153736,170,,,
0.9,0.0005,-17783.781131182797,10.076230320653822,70,,,
1.1,0.0005,-21779.934889347827,12.790915072300304,80,,,
1.3,0.0005,-25765.39987543478,15.178942374401966,80,,,
1.5,0.0005,-29728.41099333333,17.49608043995081,70,,,
1.7,0.0005,-33695.616402365595,19.84805769589702,70,,,
1.9,0.0005,-37688.832111397845,21.61591964796352,70,,,
2.1,0.0005,-41628.20384129032,24.67813191381175,70,,,
2.3,0.0005,-45607.96192709677,26.454611826487767,70,,,
2.5,0.0005,-49596.27333397849,28.430538451704408,70,,,
2.7,0.0005,-53558.13304774193,30.77973926262959,70,,,
2.9,0.0005,-57500.93110301075,33.61351027391872,70,,,
3.1,0.0005,-61484.25624666667,35.65233012777676,70,,,
3.3,0.0005,-65434.72117763441,38.08752446933077,40,,,
3.5,0.0005,-69403.08762258064,40.55010968204552,50,,,
3.7,0.0005,-73395.88285612903,42.182066073659435,70,,,
3.9,0.0005,-77282.85373053764,45.73794816957652,70,,,
4.1,0.0005,-81261.0518544086,47.6969789048736,70,,,
4.3,0.0005,-85182.09831204302,50.78328678662141,70,,,
4.5,0.0005,-89177.8640260215,52.75907107200181,70,,,
4.7,0.0005,-93207.27341053763,53.54289285730968,70,,,